"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MARUTI","EQ","14-May-2018","       8750.30","       8751.00","       8760.00","       8688.10","       8702.35","       8707.00","       8717.46","     276620","          2411424056.10","      47216"
"MARUTI","EQ","15-May-2018","       8707.00","       8725.00","       8750.35","       8639.00","       8725.00","       8726.60","       8719.20","     506107","          4412846810.90","      66001"
"MARUTI","EQ","16-May-2018","       8726.60","       8675.00","       8733.45","       8675.00","       8695.60","       8695.60","       8705.02","     288597","          2512241648.45","      63410"
"MARUTI","EQ","17-May-2018","       8695.60","       8725.00","       8766.45","       8661.20","       8672.00","       8697.50","       8726.05","     379606","          3312461898.35","      46952"
"MARUTI","EQ","18-May-2018","       8697.50","       8700.80","       8725.00","       8496.00","       8518.00","       8510.95","       8587.18","     603507","          5182421772.50","      65350"
"MARUTI","EQ","21-May-2018","       8510.95","       8518.00","       8524.80","       8255.50","       8434.95","       8428.50","       8380.22","     872463","          7311434968.90","     107122"
"MARUTI","EQ","22-May-2018","       8428.50","       8416.00","       8586.40","       8371.25","       8556.10","       8560.65","       8508.98","     410467","          3492656122.40","      57096"
"MARUTI","EQ","23-May-2018","       8560.65","       8560.00","       8564.80","       8458.20","       8482.00","       8497.40","       8504.30","     399631","          3398583196.90","      65778"
"MARUTI","EQ","24-May-2018","       8497.40","       8500.10","       8518.30","       8400.00","       8429.00","       8410.75","       8430.91","     292331","          2464616797.30","      32920"
"MARUTI","EQ","25-May-2018","       8410.75","       8412.00","       8574.00","       8395.15","       8564.00","       8548.15","       8487.93","     519151","          4406518426.05","      67053"
"MARUTI","EQ","28-May-2018","       8548.15","       8560.00","       8785.00","       8555.10","       8710.00","       8709.30","       8700.69","     446264","          3882802865.50","      63851"
"MARUTI","EQ","29-May-2018","       8709.30","       8718.00","       8840.00","       8680.00","       8704.65","       8714.90","       8775.99","     665121","          5837092839.75","      70286"
"MARUTI","EQ","30-May-2018","       8714.90","       8669.00","       8669.00","       8572.85","       8587.65","       8588.20","       8603.90","     508262","          4373033452.95","      83679"
