"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HINDUNILVR","EQ","17-Nov-2016","        808.75","        808.75","        816.00","        803.00","        812.00","        811.65","        810.03","     665671","           539214329.05","      51353"
"HINDUNILVR","EQ","18-Nov-2016","        811.65","        813.00","        814.80","        795.55","        800.00","        802.85","        802.65","    1462211","          1173645799.90","      72074"
"HINDUNILVR","EQ","21-Nov-2016","        802.85","        802.85","        805.80","        792.65","        803.00","        797.75","        799.71","     993597","           794591241.40","      44868"
"HINDUNILVR","EQ","22-Nov-2016","        797.75","        806.30","        822.50","        802.80","        821.30","        819.90","        815.61","    1226008","           999943648.20","      52256"
"HINDUNILVR","EQ","23-Nov-2016","        819.90","        820.35","        834.00","        815.10","        829.45","        831.70","        827.76","    1254013","          1038022090.00","      41003"
"HINDUNILVR","EQ","24-Nov-2016","        831.70","        828.80","        834.50","        820.55","        828.75","        825.30","        826.31","    1588843","          1312870204.25","      44379"
"HINDUNILVR","EQ","25-Nov-2016","        825.30","        830.00","        838.00","        825.65","        832.80","        833.60","        833.49","     788448","           657163913.50","      32556"
"HINDUNILVR","EQ","28-Nov-2016","        833.60","        830.45","        841.95","        829.00","        838.80","        837.85","        836.90","     930063","           778372131.30","      58488"
"HINDUNILVR","EQ","29-Nov-2016","        837.85","        837.00","        841.00","        830.25","        831.80","        832.70","        835.55","    1157881","           967468560.00","      48350"
"HINDUNILVR","EQ","30-Nov-2016","        832.70","        835.25","        850.30","        831.05","        844.35","        844.00","        842.99","    2734453","          2305111619.75","      73890"
"HINDUNILVR","EQ","01-Dec-2016","        844.00","        844.00","        855.70","        840.90","        847.00","        848.10","        850.39","     951938","           809514867.25","      24020"
"HINDUNILVR","EQ","02-Dec-2016","        848.10","        845.00","        848.40","        828.15","        834.00","        831.45","        833.68","     623704","           519969306.45","      41700"
"HINDUNILVR","EQ","05-Dec-2016","        831.45","        832.90","        851.40","        832.00","        849.00","        844.90","        846.25","     760110","           643240820.85","      34076"
"HINDUNILVR","EQ","06-Dec-2016","        844.90","        845.40","        849.80","        833.20","        834.10","        836.00","        836.49","     611314","           511359676.40","      47778"
"HINDUNILVR","EQ","07-Dec-2016","        836.00","        839.85","        844.00","        832.05","        837.00","        833.70","        837.57","     394177","           330149090.95","      17955"
"HINDUNILVR","EQ","08-Dec-2016","        833.70","        836.00","        846.80","        836.00","        843.00","        843.00","        842.85","     609858","           514017039.40","      31409"
"HINDUNILVR","EQ","09-Dec-2016","        843.00","        839.90","        847.00","        836.35","        843.65","        845.05","        841.53","     463868","           390357153.65","      21696"
"HINDUNILVR","EQ","12-Dec-2016","        845.05","        845.00","        845.85","        830.35","        832.00","        832.60","        834.54","     317031","           264573912.35","      18737"
"HINDUNILVR","EQ","13-Dec-2016","        832.60","        834.00","        836.40","        824.90","        829.05","        831.15","        828.96","     716723","           594133031.50","      21558"
"HINDUNILVR","EQ","14-Dec-2016","        831.15","        831.00","        832.85","        818.80","        823.35","        821.80","        825.29","     418711","           345556012.70","      18197"
"HINDUNILVR","EQ","15-Dec-2016","        821.80","        818.00","        823.70","        813.65","        817.05","        816.05","        817.75","     552176","           451540405.40","      37414"
"HINDUNILVR","EQ","16-Dec-2016","        816.05","        817.50","        827.00","        813.60","        820.40","        816.95","        819.25","     907271","           743286205.70","      34798"
"HINDUNILVR","EQ","19-Dec-2016","        816.95","        817.00","        817.80","        808.00","        808.20","        809.75","        811.15","     709550","           575549712.75","      23004"
"HINDUNILVR","EQ","20-Dec-2016","        809.75","        808.75","        812.75","        798.45","        800.25","        801.40","        802.33","    1057366","           848356455.10","      39068"
"HINDUNILVR","EQ","21-Dec-2016","        801.40","        802.00","        805.00","        795.90","        797.55","        796.80","        798.24","    1024157","           817525435.35","      31062"
"HINDUNILVR","EQ","22-Dec-2016","        796.80","        796.00","        802.50","        783.85","        786.05","        787.05","        793.45","    1147406","           910409901.55","      26864"
"HINDUNILVR","EQ","23-Dec-2016","        787.05","        786.50","        799.40","        781.95","        790.00","        789.50","        790.52","     893290","           706167058.60","      30641"
"HINDUNILVR","EQ","26-Dec-2016","        789.50","        788.00","        804.90","        785.05","        804.00","        801.80","        798.28","     686679","           548164909.80","      21575"
"HINDUNILVR","EQ","27-Dec-2016","        801.80","        801.90","        808.50","        796.60","        805.80","        806.75","        802.93","     552306","           443462697.45","      21372"
"HINDUNILVR","EQ","28-Dec-2016","        806.75","        808.00","        821.20","        806.00","        811.00","        810.30","        813.51","     811567","           660218253.50","      37667"
"HINDUNILVR","EQ","29-Dec-2016","        810.30","        811.25","        821.95","        806.55","        818.00","        818.50","        817.29","    1295881","          1059107385.10","      36817"
"HINDUNILVR","EQ","30-Dec-2016","        818.50","        819.45","        829.45","        818.50","        825.75","        826.35","        826.09","     709395","           586024127.00","      25315"
"HINDUNILVR","EQ","02-Jan-2017","        826.35","        828.00","        828.00","        819.10","        825.10","        825.35","        824.19","     439748","           362434548.10","      11162"
"HINDUNILVR","EQ","03-Jan-2017","        825.35","        826.45","        832.80","        819.50","        828.00","        829.85","        828.48","     617599","           511671194.20","      17589"
"HINDUNILVR","EQ","04-Jan-2017","        829.85","        829.85","        837.40","        816.55","        823.40","        821.60","        824.37","    1298675","          1070588448.30","      51678"
"HINDUNILVR","EQ","05-Jan-2017","        821.60","        824.90","        835.75","        822.00","        832.00","        833.15","        830.61","     800848","           665189217.15","      47939"
"HINDUNILVR","EQ","06-Jan-2017","        833.15","        832.90","        874.80","        831.70","        837.15","        833.75","        836.11","     545826","           456372286.65","      24523"
"HINDUNILVR","EQ","09-Jan-2017","        833.75","        838.00","        838.55","        828.35","        829.90","        831.05","        833.43","     323290","           269438882.50","      14456"
"HINDUNILVR","EQ","10-Jan-2017","        831.05","        833.80","        835.95","        829.00","        830.00","        830.55","        831.36","     337793","           280827938.20","      10509"
"HINDUNILVR","EQ","11-Jan-2017","        830.55","        832.10","        845.00","        830.10","        840.40","        841.50","        840.14","     867646","           728941263.75","      25710"
"HINDUNILVR","EQ","12-Jan-2017","        841.50","        843.70","        843.70","        824.70","        827.95","        825.90","        832.65","     985100","           820240613.30","      27974"
"HINDUNILVR","EQ","13-Jan-2017","        825.90","        830.00","        835.60","        825.10","        828.00","        827.95","        830.18","     567779","           471359288.05","      28406"
"HINDUNILVR","EQ","16-Jan-2017","        827.95","        828.00","        831.35","        822.45","        828.05","        827.50","        827.00","     472383","           390661172.60","      24525"
"HINDUNILVR","EQ","17-Jan-2017","        827.50","        826.75","        843.00","        826.75","        839.25","        840.65","        839.54","    1081184","           907702501.10","      49685"
"HINDUNILVR","EQ","18-Jan-2017","        840.65","        840.70","        867.75","        837.60","        864.80","        864.95","        861.05","    2032995","          1750519577.65","      41747"
"HINDUNILVR","EQ","19-Jan-2017","        864.95","        865.40","        875.95","        858.55","        860.55","        860.30","        866.38","    1350359","          1169919254.20","      42553"
"HINDUNILVR","EQ","20-Jan-2017","        860.30","        855.20","        872.00","        854.50","        857.05","        860.45","        862.30","    1032081","           889962888.70","      29583"
"HINDUNILVR","EQ","23-Jan-2017","        860.45","        854.60","        866.80","        851.55","        859.15","        862.40","        860.24","    1615902","          1390067209.40","      38393"
"HINDUNILVR","EQ","24-Jan-2017","        862.40","        856.00","        862.40","        842.10","        859.50","        860.35","        852.42","    1843785","          1571670027.45","      60544"
"HINDUNILVR","EQ","25-Jan-2017","        860.35","        857.00","        869.95","        855.95","        865.00","        869.20","        866.43","    1360342","          1178642647.50","      40281"
"HINDUNILVR","EQ","27-Jan-2017","        869.20","        869.00","        875.70","        853.80","        859.00","        855.95","        861.24","    1272497","          1095926882.95","      66946"
"HINDUNILVR","EQ","30-Jan-2017","        855.95","        856.95","        863.20","        851.15","        856.00","        853.55","        855.06","     600766","           513689955.55","      20779"
"HINDUNILVR","EQ","31-Jan-2017","        853.55","        856.00","        862.90","        851.25","        854.00","        855.40","        856.32","    1210100","          1036232058.10","      35801"
"HINDUNILVR","EQ","01-Feb-2017","        855.40","        857.00","        867.55","        849.20","        857.00","        854.05","        856.99","    1750447","          1500112106.50","      45502"
"HINDUNILVR","EQ","02-Feb-2017","        854.05","        857.50","        858.80","        841.80","        843.00","        845.30","        847.68","    1617828","          1371408522.50","      69650"
"HINDUNILVR","EQ","03-Feb-2017","        845.30","        845.00","        852.45","        838.60","        850.00","        849.75","        845.98","     999913","           845904108.50","      51595"
"HINDUNILVR","EQ","06-Feb-2017","        849.75","        850.05","        862.00","        850.00","        860.50","        860.55","        857.01","    1007603","           863527920.20","      71380"
"HINDUNILVR","EQ","07-Feb-2017","        860.55","        863.00","        863.30","        851.00","        856.85","        855.25","        854.86","     866921","           741099506.20","      46547"
"HINDUNILVR","EQ","08-Feb-2017","        855.25","        859.90","        859.90","        847.35","        852.00","        852.95","        852.52","     995337","           848540426.10","      46865"
"HINDUNILVR","EQ","09-Feb-2017","        852.95","        856.00","        856.10","        843.50","        853.55","        850.75","        848.94","     884351","           750762927.65","      45199"
"HINDUNILVR","EQ","10-Feb-2017","        850.75","        848.25","        858.40","        847.65","        850.05","        850.90","        852.62","     648644","           553044279.75","      28187"
"HINDUNILVR","EQ","13-Feb-2017","        850.90","        854.95","        864.75","        852.45","        863.00","        862.30","        859.73","     688095","           591575372.40","      27487"
"HINDUNILVR","EQ","14-Feb-2017","        862.30","        863.00","        868.05","        845.00","        848.80","        848.15","        851.27","    1294385","          1101866633.80","      47438"
"HINDUNILVR","EQ","15-Feb-2017","        848.15","        848.55","        852.50","        843.40","        851.70","        850.05","        847.87","     863541","           732170278.70","      38081"
"HINDUNILVR","EQ","16-Feb-2017","        850.05","        852.00","        852.50","        844.05","        846.50","        846.10","        846.92","     529692","           448604286.50","      29449"
"HINDUNILVR","EQ","17-Feb-2017","        846.10","        847.00","        847.95","        837.50","        840.30","        841.25","        842.64","     917969","           773519536.80","      45897"
"HINDUNILVR","EQ","20-Feb-2017","        841.25","        850.70","        858.00","        847.50","        852.00","        854.45","        853.40","    1511663","          1290054288.50","      37099"
"HINDUNILVR","EQ","21-Feb-2017","        854.45","        853.50","        866.60","        852.05","        863.45","        862.75","        860.94","    1061217","           913639514.80","      42910"
"HINDUNILVR","EQ","22-Feb-2017","        862.75","        866.00","        869.00","        852.00","        867.10","        864.15","        860.44","    1996095","          1717510328.50","      80764"
"HINDUNILVR","EQ","23-Feb-2017","        864.15","        870.90","        872.00","        856.25","        860.80","        858.25","        861.40","    1313518","          1131465587.65","      31308"
"HINDUNILVR","EQ","27-Feb-2017","        858.25","        859.05","        870.55","        854.25","        864.00","        866.45","        866.91","    1194357","          1035405136.80","      34080"
"HINDUNILVR","EQ","28-Feb-2017","        866.45","        865.50","        868.45","        858.15","        867.00","        865.90","        864.28","    1409380","          1218094388.80","      40038"
"HINDUNILVR","EQ","01-Mar-2017","        865.90","        868.40","        880.90","        862.95","        873.65","        875.50","        874.36","    1199589","          1048876433.65","      48147"
"HINDUNILVR","EQ","02-Mar-2017","        875.50","        878.00","        883.00","        873.35","        878.00","        877.50","        878.98","    1116347","           981252011.45","      33379"
"HINDUNILVR","EQ","03-Mar-2017","        877.50","        878.00","        879.75","        870.90","        879.50","        877.15","        876.21","     909059","           796523172.20","      31285"
"HINDUNILVR","EQ","06-Mar-2017","        877.15","        877.00","        883.15","        866.25","        873.00","        873.10","        872.13","     620823","           541436430.15","      26499"
"HINDUNILVR","EQ","07-Mar-2017","        873.10","        874.10","        874.95","        868.15","        873.00","        872.05","        871.62","     581168","           506556729.60","      16378"
"HINDUNILVR","EQ","08-Mar-2017","        872.05","        870.00","        876.15","        863.25","        873.05","        871.30","        868.21","     689050","           598239738.70","      28044"
"HINDUNILVR","EQ","09-Mar-2017","        871.30","        868.90","        872.00","        862.20","        870.65","        870.30","        868.48","     649123","           563753184.85","      30947"
"HINDUNILVR","EQ","10-Mar-2017","        870.30","        871.00","        877.75","        867.40","        876.45","        875.20","        870.75","    1533750","          1335513008.90","      22795"
"HINDUNILVR","EQ","14-Mar-2017","        875.20","        881.20","        915.00","        879.05","        913.00","        913.75","        896.86","    2763421","          2478396096.00","      90182"
"HINDUNILVR","EQ","15-Mar-2017","        913.75","        910.00","        917.20","        899.00","        902.75","        900.50","        903.80","    1247829","          1127788388.75","      40809"
"HINDUNILVR","EQ","16-Mar-2017","        900.50","        908.00","        912.40","        895.35","        906.30","        906.20","        905.21","    1052674","           952889847.95","      32942"
"HINDUNILVR","EQ","17-Mar-2017","        906.20","        907.55","        911.00","        900.00","        901.00","        902.55","        903.25","    2071209","          1870828182.95","      59441"
"HINDUNILVR","EQ","20-Mar-2017","        902.55","        900.55","        915.25","        896.00","        897.75","        898.45","        902.91","     849554","           767071608.30","      22731"
"HINDUNILVR","EQ","21-Mar-2017","        898.45","        898.80","        907.10","        888.30","        900.60","        903.45","        895.70","    1016256","           910259722.05","      29449"
"HINDUNILVR","EQ","22-Mar-2017","        903.45","        894.05","        908.00","        894.05","        904.00","        904.95","        902.00","     928431","           837440347.60","      25344"
"HINDUNILVR","EQ","23-Mar-2017","        904.95","        905.00","        909.00","        898.15","        900.30","        902.00","        901.19","     737393","           664528188.40","      19504"
"HINDUNILVR","EQ","24-Mar-2017","        902.00","        901.00","        905.20","        897.00","        900.00","        900.20","        899.96","     809976","           728946401.05","      19828"
"HINDUNILVR","EQ","27-Mar-2017","        900.20","        899.85","        913.35","        895.10","        898.10","        898.80","        904.09","    2830764","          2559258540.05","      31258"
"HINDUNILVR","EQ","28-Mar-2017","        898.80","        900.00","        905.00","        897.50","        904.00","        903.10","        901.00","     565803","           509786635.35","      14952"
"HINDUNILVR","EQ","29-Mar-2017","        903.10","        904.20","        914.90","        900.35","        912.45","        912.55","        907.33","    1067420","           968502236.15","      33621"
"HINDUNILVR","EQ","30-Mar-2017","        912.55","        911.10","        923.80","        909.20","        919.00","        919.20","        918.44","    2105056","          1933371981.35","      45021"
"HINDUNILVR","EQ","31-Mar-2017","        919.20","        919.20","        920.25","        905.20","        911.80","        911.75","        914.34","    1454650","          1330047555.35","      42780"
"HINDUNILVR","EQ","03-Apr-2017","        911.75","        914.00","        924.35","        904.40","        922.40","        920.65","        915.58","     832000","           761766589.45","      33567"
"HINDUNILVR","EQ","05-Apr-2017","        920.65","        918.15","        937.45","        918.15","        935.05","        935.35","        930.33","    2246395","          2089884300.65","      38095"
"HINDUNILVR","EQ","06-Apr-2017","        935.35","        930.85","        936.25","        921.00","        933.40","        934.65","        929.60","    1588953","          1477083478.50","      38043"
"HINDUNILVR","EQ","07-Apr-2017","        934.65","        925.70","        932.70","        921.20","        922.00","        924.50","        925.00","     770117","           712357250.00","      22920"
"HINDUNILVR","EQ","10-Apr-2017","        924.50","        922.80","        929.70","        916.00","        924.00","        925.95","        921.30","     460843","           424573931.00","      21466"
"HINDUNILVR","EQ","11-Apr-2017","        925.95","        922.95","        925.80","        917.25","        923.30","        923.70","        923.62","     715100","           660477624.45","      30480"
"HINDUNILVR","EQ","12-Apr-2017","        923.70","        920.20","        925.70","        918.45","        923.50","        923.75","        922.59","    2006885","          1851539250.05","      23873"
"HINDUNILVR","EQ","13-Apr-2017","        923.75","        921.85","        929.20","        918.50","        922.90","        923.85","        923.32","    1200252","          1108214839.00","      18978"
"HINDUNILVR","EQ","17-Apr-2017","        923.85","        923.00","        923.80","        912.10","        914.00","        914.05","        919.00","     449115","           412734463.60","      16838"
"HINDUNILVR","EQ","18-Apr-2017","        914.05","        915.00","        920.95","        911.05","        912.35","        912.75","        914.39","     605252","           553433493.60","      41152"
"HINDUNILVR","EQ","19-Apr-2017","        912.75","        914.60","        918.45","        906.00","        906.25","        908.55","        911.83","    1245002","          1135230981.45","      32845"
"HINDUNILVR","EQ","20-Apr-2017","        908.55","        912.00","        917.60","        906.25","        914.15","        915.70","        910.92","    1955164","          1780999358.95","      29189"
"HINDUNILVR","EQ","21-Apr-2017","        915.70","        919.50","        923.90","        903.50","        906.70","        906.40","        915.78","     761841","           697678445.25","      23278"
"HINDUNILVR","EQ","24-Apr-2017","        906.40","        909.90","        909.90","        898.55","        904.55","        904.55","        904.91","     789135","           714097037.40","      31691"
"HINDUNILVR","EQ","25-Apr-2017","        904.55","        907.00","        927.00","        903.05","        924.00","        924.00","        915.75","    1105317","          1012188834.15","      39079"
"HINDUNILVR","EQ","26-Apr-2017","        924.00","        924.00","        945.00","        920.30","        942.25","        941.35","        935.65","    1296199","          1212786273.05","      44120"
"HINDUNILVR","EQ","27-Apr-2017","        941.35","        941.10","        951.00","        936.20","        941.65","        947.30","        946.43","    1096343","          1037611915.15","      46633"
"HINDUNILVR","EQ","28-Apr-2017","        947.30","        944.00","        945.50","        932.15","        934.00","        934.95","        938.12","    3585324","          3363477138.75","      63756"
"HINDUNILVR","EQ","02-May-2017","        934.95","        930.20","        937.25","        924.00","        930.00","        928.10","        928.21","    1615426","          1499461669.20","      87213"
"HINDUNILVR","EQ","03-May-2017","        928.10","        933.00","        936.95","        922.60","        935.00","        934.00","        932.07","     977037","           910662479.75","      49505"
"HINDUNILVR","EQ","04-May-2017","        934.00","        934.25","        960.00","        933.80","        956.00","        956.70","        949.12","    1234682","          1171861992.15","      51296"
"HINDUNILVR","EQ","05-May-2017","        956.70","        953.50","        959.45","        949.30","        954.40","        953.90","        953.92","     571239","           544916729.00","      14950"
"HINDUNILVR","EQ","08-May-2017","        953.90","        955.00","        960.00","        946.05","        955.05","        954.85","        953.21","     672197","           640741961.80","      16196"
"HINDUNILVR","EQ","09-May-2017","        954.85","        957.00","        958.00","        947.50","        954.00","        952.05","        951.40","    1292861","          1230026048.40","      20101"
"HINDUNILVR","EQ","10-May-2017","        952.05","        954.10","        999.00","        954.10","        995.00","        996.35","        991.01","    2928370","          2902032174.85","      60218"
"HINDUNILVR","EQ","11-May-2017","        996.35","        994.40","        996.00","        975.95","        979.80","        978.75","        984.21","    1354465","          1333084124.40","      42794"
